,콘존ID,방향,grs80x,grs80y,노선번호,노선명,위도,경도
3460,0351CZE070,E,227100.297762,486341.6676,400,평택제천선,36.975539327704126,127.30435993264031
3461,0351CZE070,E,228393.04733099998,486441.022084,400,평택제천선,36.976396476900874,127.31888217097074
3462,0351CZE070,E,229791.700144,486977.10149399994,400,평택제천선,36.981183699972995,127.33461134581965
3463,0351CZE070,E,230877.878022,486979.004741,400,평택제천선,36.98116583878639,127.346810844608
3464,0351CZE070,E,233199.59391,486294.35341000004,400,평택제천선,36.97491763496725,127.37285705924937
3465,0351CZE070,E,234636.39211100002,485990.63298199995,400,평택제천선,36.972129143687155,127.38897915277578
3466,0351CZE070,E,235293.862091,485537.76059300004,400,평택제천선,36.96802404860099,127.39634146008703
3467,0351CZE070,E,235893.311638,485007.996747,400,평택제천선,36.96322786969638,127.40304781676677
3468,0351CZE080,E,234977.72521399998,485782.486703,400,평택제천선,36.97024098918679,127.39280272690779
3469,0351CZE080,E,236492.607195,484478.05769600003,400,평택제천선,36.95842974050917,127.40975159392423
3470,0351CZE080,E,238190.34580100002,483664.3719520001,400,평택제천선,36.951030603852296,127.42877281074973
3471,0351CZE080,E,240100.39887600002,483075.567547,400,평택제천선,36.945645747383374,127.45018565754806
3472,0351CZE080,E,241139.287179,482717.824263,400,평택제천선,36.942377477814,127.46182890211679
3473,0351CZE080,E,241920.11128800001,482559.484066,400,평택제천선,36.940916328305256,127.47058537914953
3474,0351CZE080,E,243605.892374,482824.44923900004,400,평택제천선,36.943227330713995,127.48952422129314
3475,0351CZE080,E,244500.67471300001,482914.042463,400,평택제천선,36.94399278943339,127.4995740666655
3476,0351CZE090,E,245498.93632399998,482972.85637,400,평택제천선,36.94447506702319,127.51078390167967
3477,0351CZE090,E,247424.27372199998,483383.06578400003,400,평택제천선,36.94807634048493,127.53242317272655
3478,0351CZE090,E,249542.32951999997,484170.401743,400,평택제천선,36.95506162466751,127.55625276587728
3479,0351CZE090,E,251534.651286,485036.659053,400,평택제천선,36.96276008475006,127.57868025619396
3480,0351CZE100,E,252943.199281,486279.894038,400,평택제천선,36.97388397943373,127.59458313397764
3481,0351CZE100,E,253874.425181,487032.810477,400,평택제천선,36.98061519059472,127.60509453311707
3482,0351CZE100,E,254957.84325700003,487726.612057,400,평택제천선,36.9868039257353,127.61731289304817
3483,0351CZE110,E,256910.255256,489036.601425,400,평택제천선,36.99849122618639,127.63934089681493
3484,0351CZE110,E,258838.926715,490247.698675,400,평택제천선,37.00928479763347,127.66110116165693
3485,0351CZE110,E,260624.069282,490248.666188,400,평택제천선,37.00918010119697,127.68115743541905
3486,0351CZE120,E,263075.124622,490399.961109,400,평택제천선,37.010382044723706,127.70870767948202
3487,0351CZE120,E,263877.418551,491135.954025,400,평택제천선,37.01695924126152,127.71778392388246
3488,0351CZE120,E,264410.542633,492208.94521700003,400,평택제천선,37.02659058433202,127.72386586795051
3489,0351CZE120,E,264914.724507,492827.20787299995,400,평택제천선,37.03212646217172,127.72958488696823
3490,0351CZE120,E,266304.424044,493582.738799,400,평택제천선,37.0388367416828,127.74526923278287
3491,0351CZE120,E,266798.38508800004,493656.025633,400,평택제천선,37.039462052608236,127.75082748066777
3492,0351CZE130,E,268872.102792,493359.334492,400,평택제천선,37.03663909931349,127.77410744426572
3493,0351CZE130,E,271632.738559,493510.778953,400,평택제천선,37.037797112460794,127.80514806170304
3494,0351CZE130,E,273677.399694,493862.246247,400,평택제천선,37.0408056020671,127.82816218030608
3495,0351CZE130,E,275195.340733,494794.47837200004,400,평택제천선,37.04908448716259,127.84531587860326
3496,0351CZE130,E,275993.561231,496406.93328500004,400,평택제천선,37.063548005085586,127.85445114101913
3497,0351CZE130,E,278086.434741,497070.75724799995,400,평택제천선,37.069357008024646,127.87804930578227
3498,0351CZE140,E,279780.85535100003,496933.45901800005,400,평택제천선,37.06797744188862,127.89708568269808
3499,0351CZE140,E,281247.07916799997,496620.750184,400,평택제천선,37.06503424234652,127.91353676800189
3500,0351CZE140,E,282636.791378,496451.73745699995,400,평택제천선,37.06339015355554,127.9291421711177
3501,0351CZE140,E,284425.975105,496275.692446,400,평택제천선,37.06164480949652,127.94923694103306
3502,0351CZE140,E,285448.991935,496645.428646,400,평택제천선,37.064883338741005,127.96077970030797
3503,0351CZE140,E,286647.65545799996,497368.73879300006,400,평택제천선,37.071290016745934,127.97433894827121
3504,0351CZE140,E,288620.294067,497861.02508,400,평택제천선,37.07554091914905,127.99657597245064
3505,0351CZE150,E,290586.147519,496901.911995,400,평택제천선,37.06671219714168,128.01856417394828
3506,0351CZE150,E,291617.30580100004,496532.68864099996,400,평택제천선,37.06328564521898,128.03011198879628
3507,0351CZE150,E,293105.56031599996,496580.583684,400,평택제천선,37.06357065956463,128.04684879321906
3508,0351CZE150,E,293889.895288,496738.09408999997,400,평택제천선,37.06491155185491,128.05568591056496
3509,0351CZE150,E,295070.030887,496951.867416,400,평택제천선,37.06671864139717,128.06898014195627
3510,0351CZE150,E,296065.031754,496893.976013,400,평택제천선,37.06609574555856,128.08015886722418
3511,0351CZE150,E,297052.74803099997,496741.771019,400,평택제천선,37.0646228731216,128.09124331656446
3512,0351CZE160,E,297951.436029,496755.365413,400,평택제천선,37.06465196468594,128.10134807832696
3513,0351CZE160,E,299218.301648,497037.4413,400,평택제천선,37.06706009002931,128.11562726134636
3514,0351CZE160,E,300180.626808,497309.31644399994,400,평택제천선,37.06940715047837,128.12648213836545
3515,0351CZE160,E,301292.317404,497744.615922,400,평택제천선,37.07320936749071,128.13903897281446
3516,0351CZE160,E,302250.906891,498265.879583,400,평택제천선,37.07780137587001,128.14988732612812
3517,0351CZE160,E,190279.54632999998,494983.38215,400,평택제천선,37.05374788557323,126.89071879152567
3518,0351CZE160,E,190470.78886099998,494924.955412,400,평택제천선,37.053223379200205,126.89286955275912
3519,0351CZE160,E,191427.014521,494632.886622,400,평택제천선,37.050600846032935,126.90362306157495
3520,0351CZE160,E,192402.320669,494428.163454,400,평택제천선,37.04876453933656,126.9145894443745
3521,0351CZE170,E,193402.092083,494424.030908,400,평택제천선,37.048734860710546,126.92582856535613
3522,0351CZE170,E,194300.226676,494389.05821099994,400,평택제천선,37.048425613099,126.93592534738823
