,콘존ID,방향,grs80x,grs80y,노선번호,노선명
341,0010CZE385,E,216865.386776,481883.366616,0010,경부선
342,0010CZE385,E,216692.958513,483338.764579,0010,경부선
343,0010CZE385,E,215708.756163,484843.627878,0010,경부선
344,0010CZE385,E,214998.236187,485930.676061,0010,경부선
345,0010CZE390,E,213579.190749,488874.067443,0010,경부선
346,0010CZE390,E,213579.190749,488874.067443,0010,경부선
347,0010CZE385,E,214178.499393,487185.020324,0010,경부선
348,0010CZE385,E,213724.338228,488396.134192,0010,경부선
349,0010CZE390,E,213608.128645,488778.453031,0010,경부선
350,0010CZE400,E,212325.588828,493175.270624,0010,경부선
351,0010CZE390,E,213346.704685,489638.674616,0010,경부선
352,0010CZE400,E,212305.079432,493273.040147,0010,경부선
353,0010CZE400,E,212305.079432,493273.040147,0010,경부선
354,0010CZE390,E,212972.004454,490563.730398,0010,경부선
355,0010CZE390,E,212653.733858,491610.967330,0010,경부선
356,0010CZE400,E,212325.588828,493175.270624,0010,경부선
357,0010CZE400,E,212139.472367,494559.543532,0010,경부선
358,0010CZE400,E,212064.962911,495555.730684,0010,경부선
359,0010CZE400,E,212006.501893,496352.764216,0010,경부선
360,0010CZE400,E,211593.864467,497458.954327,0010,경부선
361,0010CZE400,E,211247.553951,498287.306525,0010,경부선
362,0010CZE400,E,210940.025776,499132.153103,0010,경부선
363,0010CZE400,E,210597.890477,500070.707897,0010,경부선
364,0010CZE400,E,209924.780346,501843.946438,0010,경부선
365,0010CZE400,E,209159.237315,502625.295485,0010,경부선
366,0010CZE400,E,207544.570802,504686.265340,0010,경부선
367,0010CZE400,E,207544.570802,504686.265340,0010,경부선
368,0010CZE400,E,208264.605128,503423.184742,0010,경부선
369,0010CZE400,E,207544.570802,504686.265340,0010,경부선
370,0010CZE410,E,207488.808655,505753.204523,0010,경부선
371,0010CZE420,E,208530.517023,509070.285477,0010,경부선
372,0010CZE420,E,208530.517023,509070.285477,0010,경부선
373,0010CZE410,E,207870.620189,506783.605751,0010,경부선
374,0010CZE410,E,208078.621921,507345.739269,0010,경부선
375,0010CZE420,E,208534.305285,508970.491219,0010,경부선
376,0010CZE420,E,208506.498550,512608.229034,0010,경부선
377,0010CZE420,E,208506.498550,512608.229034,0010,경부선
378,0010CZE420,E,208506.498550,512608.229034,0010,경부선
379,0010CZE420,E,208371.188225,511053.459686,0010,경부선
380,0010CZE420,E,208443.176060,511949.644198,0010,경부선
381,0010CZE430,E,208875.373249,513529.918579,0010,경부선
382,0010CZE440,E,209383.767716,514391.033831,0010,경부선
383,0010CZE440,E,209208.387441,518337.529002,0010,경부선
384,0010CZE440,E,209396.966504,515354.587256,0010,경부선
385,0010CZE440,E,209208.387441,518337.529002,0010,경부선
386,0010CZE440,E,209216.253391,516837.561473,0010,경부선
387,0010CZE440,E,209211.533823,517737.541993,0010,경부선
388,0010CZE450,E,209205.765455,518837.518208,0010,경부선
389,0010CZE450,E,209202.094671,519537.503013,0010,경부선
390,0010CZE450,E,209197.899485,520337.485713,0010,경부선
391,0010CZE460,E,209192.655398,521337.464006,0010,경부선
392,0010CZE460,E,209180.069802,523737.411956,0010,경부선
393,0010CZE460,E,209172.203785,525237.379400,0010,경부선
394,0010CZE460,E,209168.008571,526037.362063,0010,경부선
395,0010CZE460,E,209161.191338,527337.333892,0010,경부선
396,0010CZE470,E,208960.534955,532824.330774,0010,경부선
397,0010CZE460,E,209153.325287,528837.301293,0010,경부선
398,0010CZE470,E,208930.577509,533022.072805,0010,경부선
399,0010CZE470,E,209143.361501,530737.259941,0010,경부선
400,0010CZE480,E,208443.632066,533973.320523,0010,경부선
401,0010CZE480,E,208443.632066,533973.320523,0010,경부선
402,0010CZE470,E,209138.885561,531537.239463,0010,경부선
403,0010CZE470,E,208960.534955,532824.330774,0010,경부선
404,0010CZE490,E,208189.163097,534281.870894,0010,경부선
405,0010CZE505,E,206872.744136,535918.015845,0010,경부선
406,0010CZE505,E,206057.818031,536930.867448,0010,경부선
407,0010CZE505,E,205619.011745,537476.249041,0010,경부선
408,0010CZE505,E,205133.565084,538232.175291,0010,경부선
409,0010CZE505,E,204514.426260,539140.333284,0010,경부선
410,0010CZE505,E,203918.871486,539943.621404,0010,경부선
411,0010CZE510,E,203007.714267,541142.166910,0010,경부선
412,0010CZE510,E,202350.858193,542468.818933,0010,경부선
413,0010CZE520,E,202073.060176,543428.297438,0010,경부선
414,0010CZE521,E,201604.221095,544956.677599,0010,경부선
415,0010CZE522,E,201409.361971,546314.704412,0010,경부선
416,0010CZS010,S,391265.163647,297630.026461,0010,경부선
417,0010CZS011,S,391642.593415,298552.164856,0010,경부선
418,0010CZS011,S,391873.608131,299421.834737,0010,경부선
419,0010CZS020,S,391448.581180,300529.001930,0010,경부선
420,0010CZS030,S,391067.929665,300978.024563,0010,경부선
421,0010CZS035,S,390059.302731,301623.740564,0010,경부선
422,0010CZS035,S,389382.829916,302360.556185,0010,경부선
423,0010CZS035,S,388711.868696,303102.642362,0010,경부선
424,0010CZS035,S,388107.547365,303770.101280,0010,경부선
425,0010CZS035,S,387520.440755,304313.835986,0010,경부선
426,0010CZS035,S,386677.031355,305009.684786,0010,경부선
427,0010CZS035,S,385987.400279,305385.561064,0010,경부선
428,0010CZS035,S,385516.200027,306151.498323,0010,경부선
429,0010CZS040,S,385975.658305,307607.915271,0010,경부선
430,0010CZS040,S,385912.249616,308702.151962,0010,경부선
431,0010CZS040,S,386058.046507,309677.401028,0010,경부선
432,0010CZS040,S,386374.129780,310730.572653,0010,경부선
433,0010CZS050,S,386513.673030,311314.243377,0010,경부선
434,0010CZS050,S,386772.880475,312175.763038,0010,경부선
435,0010CZS050,S,386953.864765,313156.791325,0010,경부선
436,0010CZS050,S,387055.149982,313950.678958,0010,경부선
437,0010CZS050,S,387293.114715,314713.332063,0010,경부선
438,0010CZS050,S,387619.817434,315658.473783,0010,경부선
439,0010CZS050,S,387739.201289,316449.425513,0010,경부선
440,0010CZS050,S,388017.495287,317403.582993,0010,경부선
441,0010CZS050,S,388497.962539,318162.126652,0010,경부선
442,0010CZS050,S,388758.687252,319230.267561,0010,경부선
443,0010CZS050,S,388981.697220,319998.804276,0010,경부선
444,0010CZS050,S,389033.470613,320192.076234,0010,경부선
445,0010CZS050,S,389346.029890,321140.601787,0010,경부선
446,0010CZS050,S,389530.182091,321709.591682,0010,경부선
447,0010CZS050,S,389751.524787,322886.774573,0010,경부선
448,0010CZS055,S,389940.679979,323766.840152,0010,경부선
449,0010CZS060,S,390204.755427,324729.992823,0010,경부선
450,0010CZS060,S,390477.025739,325588.127563,0010,경부선
451,0010CZS060,S,390763.691430,326546.621519,0010,경부선
452,0010CZS060,S,390970.718789,327421.129102,0010,경부선
453,0010CZS060,S,391323.963237,328244.173637,0010,경부선
454,0010CZS060,S,392351.397814,330076.738294,0010,경부선
455,0010CZS070,S,392773.255755,331090.697164,0010,경부선
456,0010CZS080,S,393321.093087,333138.780940,0010,경부선
457,0010CZS080,S,393491.149695,334024.178636,0010,경부선
458,0010CZS080,S,393706.313677,334896.527936,0010,경부선
459,0010CZS080,S,394000.017828,335642.137580,0010,경부선
460,0010CZS080,S,394510.415745,336948.445463,0010,경부선
461,0010CZS080,S,395019.211976,337809.117240,0010,경부선
